asset_id,display_name,tx_hash,listing_id,listed_at,price_lovelace,listing_type
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a30313837,ADA Ninjaz - Aramar #0187,5fefd211725ae2bec86dd584a49e01d266a804777c4e5b9e7ba3ef75e43ba084#0,14792299,2023-01-07T03:43:40.031Z,390000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a34353830,ADA Ninjaz - Aramar #4580,4e690807ba9ac5d2249d2c5a0b0f4cb7fc6abf8eebd28d330132c52ef54ce786#0,21177001,2023-01-07T02:30:48.499Z,230000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a30323330,ADA Ninjaz - Aramar #0230,e1e496dd37cf2ddbb83af409835311dd4bcaa48bffb24adf3d092cbd6fe0d80f#0,21105702,2023-01-06T11:51:05.826Z,148000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a32313131,ADA Ninjaz - Aramar #2111,cca030be9c07b1b49803a0a1b25b08d1be72ec5aaa78994ee40447c74235797c#0,21155602,2023-01-04T18:41:37.326Z,950000000,BUNDLE
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a38323633,ADA Ninjaz - Aramar #8263,0204498a98b463b67027be7967d41991341eaa54cf12397540969a248a60f841#0,21153753,2023-01-04T14:50:13.384Z,444000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a33333439,ADA Ninjaz - Aramar #3349,9db17a6271b7429b21328d10c65ff631088676332103fcc770cbd0005e72dd2f#0,20821588,2023-01-04T14:47:02.359Z,200000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a34353332,ADA Ninjaz - Aramar #4532,801b850ca1382c2bf16c4f7077f5cbe82c372e53377c5023d90f41656ee61c18#0,20821571,2023-01-04T14:46:19.490Z,200000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a37343039,ADA Ninjaz - Aramar #7409,6af9e1c9c89037a3a6e7ae3caab1a40b26132b28d95d2f0bdce786a51da8587f#0,21100853,2023-01-04T12:46:25.519Z,1700000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a33313836,ADA Ninjaz - Aramar #3186,573b4b10f38c1ba53ade44ad622e2cce6bd7b7766f9649c3a4422df0e95db142#0,21151310,2023-01-04T06:12:05.749Z,4000000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a30353438,ADA Ninjaz - Aramar #0548,f10565c431bf0052875202adc93c869d0015db88a952f96c832d04c54ac85579#0,21151054,2023-01-04T05:06:54.007Z,200000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a37323032,ADA Ninjaz - Aramar #7202,b3cb963fc5ae5b25ddfe8e2d5fe1eb513649b91878c00db9bea66e9c74073872#0,21151051,2023-01-04T05:06:35.748Z,165000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a37353730,ADA Ninjaz - Aramar #7570,cf1860feb38c2ad74569e5da81df5facccb7595553c40c21fafb208310bca0e5#0,21150758,2023-01-04T04:09:47.000Z,240000000,SINGLE_ASSET
83c0ab67afc9148bd1571b7a14de1df03cd5624f5992d3b8ec84d6fb4164614e696e6a617a31303735,ADA Ninjaz - Aramar #1075,964856181c99013daa03b342f41efb5fd1c354cc5478b215c625b41ba27bed13#0,21150735,2023-01-04T04:08:51.000Z,275000000,SINGLE_ASSET
